output_linear_velocity,output_angular_velocity,distance_from_goal,angle_from_goal,lidar_depth_1,lidar_depth_2,lidar_depth_3,lidar_depth_4,lidar_depth_5,lidar_depth_6,lidar_depth_7,lidar_depth_8,lidar_depth_9,lidar_depth_10,lidar_depth_11,lidar_depth_12,lidar_depth_13,lidar_depth_14,lidar_depth_15,lidar_depth_16,lidar_depth_17,lidar_depth_18,lidar_depth_19,lidar_depth_20,lidar_depth_21,lidar_depth_22,lidar_depth_23,lidar_depth_24,lidar_depth_25,lidar_depth_26,lidar_depth_27,lidar_depth_28,lidar_depth_29,lidar_depth_30,lidar_depth_31,lidar_depth_32,lidar_depth_33,lidar_depth_34,lidar_depth_35,lidar_depth_36,lidar_depth_37,lidar_depth_38,lidar_depth_39,lidar_depth_40,lidar_depth_41,lidar_depth_42,lidar_depth_43,lidar_depth_44,lidar_depth_45,lidar_depth_46,lidar_depth_47,lidar_depth_48,lidar_depth_49,lidar_depth_50
2,0.0011783291934386497,145.9423054893381,0.002356662394155551,151.85640818796978,147.77106164180267,128.5974468593628,114.033565819627,102.6583171927508,93.58415502504877,86.22875112861057,80.1947449692949,75.20226686991143,71.04907006526085,67.58594907831126,64.70103396115208,62.309452371993885,60.34635570357297,58.76212220939475,57.519011948446305,56.588819303632945,55.95123331950214,55.59271951559552,55.50580448399796,55.68869120540957,56.14516765726563,222.57331907796242,235.574276371195,261.8547933462656,503.3132655653511,518.457871681197,256.5437661582682,510.9052543128994,456.1441613385077,468.79395312234624,112.36840083637588,106.13222493079329,100.93459613183796,108.17430175342,120.74835891689204,135.93455347405742,131.8595999922166,128.55994148111978,125.95626811314915,123.98907552508385,122.61517047611841,121.80527396267732,121.5424647931784,121.82130567833482,122.64756643747273,124.03851778382341,126.02382386298649,128.64712083894744,131.9684419430586
2,0.0004574970586710069,142.86874100560345,0.0009150099534309674,152.91190334507968,141.34010108299353,122.88382361552709,108.87520006297497,97.93973218178625,89.22007838347453,82.15429522334232,76.35924249507957,71.56524331837177,67.57752030777847,64.25243932895407,61.482342471768106,59.185570969577995,57.29973816863175,55.77710423006134,54.581351501433204,53.68532164143346,53.06943461147509,52.720609542597714,52.6315727713761,52.80048326961851,212.63833072563457,219.61717580607058,232.4526846461996,258.13903590674676,499.88771403532894,514.8714256679262,257.4029588510588,507.03409746393515,455.904093362406,464.41961562754585,110.79869114566924,104.62442451677482,99.47862082612338,102.82451466910638,114.78823100445915,130.2347341987995,130.69924974473568,127.41182193730918,124.81584665001947,122.8519335716594,121.47692668804083,120.66150670510217,120.38863118537768,120.65265393383862,121.45903752136374,122.82463137845835,124.77854212256207,127.36368118434339,130.6391468324826
2,5.461650497221369e-05,136.4073548753137,0.0001095723253647929,149.90182808668348,126.98657402456448,110.24814590726672,97.54868264655695,87.63827509498759,79.73785380143039,73.33706756933007,68.08811043179293,63.74626593102752,60.13483733052078,57.12355462815384,54.614794438237396,52.534518411860475,50.826165222603834,49.446451797765704,48.36244645442852,47.54951503210951,46.98988569452523,46.671668848893056,46.58822792349352,46.73783751878578,206.89370971489205,213.6779322605063,226.4245264708261,251.65556913345944,493.1715020013765,507.9249129880492,258.9399493542937,499.61461642236316,453.5699732953874,456.1493679999303,107.2615212054388,101.25822380835187,96.255036918758,92.08389629470132,102.78078230515847,116.71211808867595,128.13578063995965,124.90014933221602,122.34401178353318,120.40885488799003,119.05213528212647,118.244914277541,117.97031752642887,118.22266284517099,119.0071708773857,120.3402308470811,122.25024687894614,124.77914757435946,127.98471198832888
2,-1.563582493852177e-06,128.24983689539593,1.151573907232084e-05,128.37787266963497,108.54196276912224,94.05384355849758,83.06225045266719,74.48495805687799,67.64747350079911,62.10798191455066,57.56540174453812,53.807901369272486,50.68253400808184,48.07654263062399,45.905429817390974,44.10511303072926,42.62663701029845,41.432539066550106,40.4943154538799,39.7906434551624,39.30613899000654,39.0305081500006,38.95800239410127,194.37477613960326,199.73213777054818,206.2906395535038,219.02958016707603,244.00536151551344,484.88959726855,499.39623011456706,260.83755493576456,493.343555614968,449.86697709062736,446.0837457193788,433.49841482093007,96.92866600722763,92.11917936537033,88.10951748722388,87.82131281718767,99.90172288274009,115.97685851023947,121.68889363835771,119.19269833001707,117.30275764375794,115.97751997309145,115.18871702153714,114.9198590654709,115.16538262795403,115.93036718293875,117.2307937194392,119.09436995315912,121.56200280816665,124.69006753976205
2,-1.2105540787473018e-05,126.2498368955967,1.3886894187464803e-05,123.08956854325567,104.01182427525657,90.07744721347252,79.5059459038389,71.2564654316715,64.68029569037152,59.352509727718484,54.98353417465225,51.36963401256533,48.363708258524774,45.857309514437304,43.769169857055886,42.03765596673797,40.61568363302298,39.46722197687183,38.56485666531819,37.88807995221982,37.42209577419522,37.15700371758829,37.08727504015565,192.6662283624506,197.97883680058015,204.54923618691444,217.22250881858736,242.14455821090382,482.8646299892025,497.3119902475091,260.8573080476876,492.06250097314836,448.93763160765127,443.6263904399549,432.6216214448808,95.86496016852806,91.10333871619353,87.13358215766111,84.1586413387956,95.78679442825953,111.26014015817539,120.90043060917313,118.41920029054054,116.54059354672417,115.22330800491761,114.4392450173853,114.1720139566568,114.41608501210806,115.17650760854995,116.46916744084724,118.32160676543356,120.77448809070006,123.88384974583232
2,-0.005961025917677516,112.91827181097926,0.005389723473638419,86.51133280077424,72.86589649944695,62.86338152839758,55.254799694464865,49.305650652810876,44.556066233678514,40.70373221898565,37.54203603670696,34.925270793876415,32.74803349130092,30.932500370275505,29.420285012957116,28.167072647840655,27.138996937262263,26.31014594461007,25.660822142207344,25.176321247125486,24.84607975451644,27.315532155048807,177.56435084577308,181.65678206214463,186.75833734973702,194.0890214449708,206.27680265905178,232.49396652779055,470.4195558514783,484.7038676384737,265.6645724994164,479.63194100163514,438.6236597024337,429.2008480233815,338.1192770206456,394.7056639645967,83.98978248051297,80.34167437749424,77.31155606287903,74.81531961023552,80.93690502396015,97.30697416205612,113.08330740455973,111.32590276950802,110.10456455534612,109.39329377894835,109.17723955111833,109.45193282434565,110.2230589582617,111.50674730679995,113.33040561170854,115.73418091828636,118.77319578817193
2,0.01652195534193577,66.62404146074121,0.12154385406472912,22.307554361805487,22.7842048201407,23.41449386585284,24.212836800200584,25.198439918690333,26.396511388926577,231.91853706737976,244.77976243694644,260.2581693744908,279.00330515223584,301.91984477839776,330.302537125242,366.06760391268483,412.17174288324395,189.8250596645419,160.2202491186711,139.68049510288498,140.01317663925806,140.96908657288728,142.56821315518837,144.8446816435051,147.84857194282185,154.32291157994658,162.31718210814526,179.35294159248616,217.5672565213889,421.45962342572244,433.1506168540973,274.1595914669223,464.6646321788531,435.55410071250986,321.39518830656897,386.97910391383317,369.1517204176876,344.9703884932498,324.98256794428863,308.13199740460647,292.6090260584868,38.52104116425017,37.46655315654425,36.64451917083587,36.036425925036774,35.62907047477144,35.41383921844554,35.386255174035256,35.5457482581332,35.89562631040225,79.36968642196045,80.50696017630723,82.0567083837607
2,0.009544663693346082,62.64689786947432,0.08932069129932563,22.790006341283046,23.1874950635532,23.735064637455054,24.444922424556495,25.333610411999246,216.72598727458424,226.37869924903205,237.95408001544985,251.8529349118993,268.6153728064925,288.983285524984,314.0004160120022,345.17919072514525,384.79263521995006,432.64985415979555,167.66596360728738,143.03367984737935,136.28396633227283,136.84790362578946,138.02683383557726,139.84557771289403,142.34336862947856,146.66749065763963,153.6745756076412,164.0570824031384,183.8847605022048,411.42334809633786,421.599345616708,434.14920264696906,275.64370235503634,429.1991966524706,314.1486721813802,367.5142451568062,385.1962617445189,358.02309518769687,335.6753729843968,317.1537342593024,301.67090607952287,287.1265885846545,36.723292194352716,35.790192431507855,35.07522952326002,34.562551939962816,34.24115734935615,34.104301792563135,34.14914917770051,34.376626553075944,34.7914712397071,35.402474334213004,79.95667800834958
2,0.010897746797377357,51.93619016219903,0.03367352069499251,23.80990856068278,190.86036593785755,194.21682161092903,198.55893683725517,203.98813562702153,210.63843823495029,218.6852117425455,228.35767586511767,239.9569768792366,253.8827671665652,270.6731883666974,291.06670961465085,316.1010037232152,347.2774632280958,386.8483668166917,175.9239853526263,144.9707474237164,126.78769710823838,126.72520157513901,127.22639831397112,128.30168529620136,129.97368148900793,132.2784066883742,136.6084663485189,143.12352829184707,152.54740962183672,170.93410539567654,399.91364827008,409.7219678833722,421.8291553419657,275.968488965987,427.3437230101483,311.0307247894242,354.08116496694134,375.4045510471424,357.2596073221399,334.8310903426285,316.247784469212,300.43220184342795,288.13145367946476,275.68509356073247,267.27224816888594,266.6173510324709,412.46810841533187,31.37727161955567,31.241501466463063,31.27567528209923,31.4804994074519,31.860237022533084,32.42292709863746
2,-9.412266812580593e-05,32.9087561054891,-0.00018824533625161344,189.84096065614258,191.82562007733168,194.69968738136205,198.52604940438744,203.39176109090684,209.41312557454984,216.7429619378034,225.58096272907753,236.18855666643884,248.91053929558512,264.20718202413684,282.70309596307504,305.2638658262419,333.120641215622,368.0816242254693,144.79111641225444,116.04772227229527,109.57978250297255,109.25033277701375,109.4120348712836,110.06823214824593,111.23260466218558,112.92987341877938,115.6482728794239,120.80214446948742,126.98387885947045,138.28481458709086,156.25491101556486,383.89008590291485,394.15502411065535,406.72753860536335,278.29602668227596,306.52736553074584,373.45784080558116,338.794088987429,359.4134698368403,345.26987430961924,324.7323275241761,307.6735490680982,292.919870357421,281.6417845582282,270.1204152702469,262.46413302386765,256.2803324583406,408.7087444096042,398.7691366162231,551.3547168409114,314.5861031075257,245.7046517210342,97.17236599372437
